airfield_name,coord
Bagram Air Base,
United States Air Force Plant 42,
Bezmer Air Base,
Graf Ignatievo Air Base,
Spangdahlem Air Base,
Thule Air Base,
Kadena Air Base,
Misawa Air Base,
Yokota Air Base,
Yontan Airfield,
Ali Al Salem Airbase,
Al Udeid Air Base,
King Khalid Air Base,
Riyadh Air Base,
Osan Air Base,
Morón Air Base,
Incirlik Air Base,
Gaziemir Air Base,
A.P. Hill Army Airfield,
Allen Army Airfield,
Amedee Army Airfield,
Bicycle Lake Army Airfield,
Biggs Army Airfield,
Blackstone Army Airfield,
Bradshaw Army Airfield,
Bryant Army Heliport,
Bucholz Army Airfield,
Butts Army Airfield,
Cairns Army Airfield,
Camp Blanding Army Airfield,
Campbell Army Airfield,
Davison Army Airfield,
Dawson Army Airfield,
Dillingham Army Airfield,
Dyess Army Airfield,
Felker Army Airfield,
Forney Army Airfield,
Fort Harrison Army Airfield,
Godman Army Airfield,
Gray Army Airfield,
Grayling Army Airfield,
Hagler Army Airfield,
Henry Post Army Airfield,
Hood Army Airfield,
Hunter Army Airfield,
Ladd Army Airfield,
Laguna Army Airfield,
Lawson Army Airfield,
Libby Army Airfield,
Los Alamitos Army Airfield,
Mackall Army Airfield,
Marshall Army Airfield,
Michael Army Airfield,
Muir Army Airfield,
Pentagon Army Heliport,
Phillips Army Airfield,
Polk Army Airfield,
Ray S. Miller Army Airfield,
Redstone Army Airfield,
Robert Gray Army Airfield,
Robinson Army Airfield,
Sabre Army Airfield,
Sherman Army Airfield,
Simmons Army Airfield,
Stallion Army Airfield,
Vagabond Army Airfield,
Wheeler Army Airfield,
Wheeler-Sack Army Airfield,
Wright Army Airfield,
Armstrong Army Airfield,
Bad Kreuznach Army Airfield,
Bad Hersfeld Airfield,
Bad Toelz Army Airfield,
Bamberg Army Airfield,
Beek Airport,
Coleman Army Airfield,
Giebelstadt Army Airfield,
Griesheim Airport,
Hanau Army Airfield,
Haunstetten Airfield,
Heidelberg Airfield,
Hoppstädten Army Airfield,
Karlsruhe Airfield,
Ludwigsburg Army Airfield,
Maurice Rose Army Airfield,
Mutlangen Army Airfield,
Schleissheim Army Airfield,
Tempelhof Central Airport,
Wildflecken Army Airfield,
Würzburg Army Airfield,
Bruning Army Air Field,
Condron Army Airfield,
Courtland Army Airfield,
Dodd Army Airfield,
Dodge City Army Air Field,
Gardner Army Airfield,
George Field,
Harris Neck Army Air Field,
Hobbs Army Airfield,
Lemoore Army Air Field,
Lowry Army Airfield,
Marfa Army Airfield,
McCook Army Air Field,
Moore Army Airfield,
Miller Field,
Muskogee Army Airfield,
Ross Army Airfield,
Travis Field,
Waco Army Airfield,
Walnut Ridge Army Air Field,
Blytheville Army Air Field,
Newport Army Air Field,
Stuttgart Army Air Field,
Adams Field,
Desiderio Army Airfield,
Grafenwöhr Army Airfield,
Hohenfels Army Airfield,
Stuttgart Army Airfield,
Wiesbaden Army Airfield,
RAF Barkston Heath,
RAF Barnham,
RAF Benson,
RAF Boulmer,
RAF Brize Norton,
RAF Coningsby,
RAF Cosford,
RAF Cranwell,
RAF Digby,
RAF Donna Nook,
RAF Fylingdales,
RAF Halton,
RAF Henlow,
RAF High Wycombe,
RAF Holbeach,
RAF Honington,
RAF Kirton in Lindsey,
RAF Leconfield,
RAF Leeming,
RAF Leuchars,
RAF Linton-on-Ouse,
RAF Lossiemouth,
RAF Marham,
RAF Mona,
RAF Neatishead,
RAF Northolt,
RAF Oakhanger,
RAF Odiham,
RAF Pembrey Sands,
RAF Prestwick,
RAF Scampton,
RAF Shawbury,
RAF Spadeadam,
RAF St. Mawgan,
RAF Stanbridge,
RAF Staxton Wold,
RAF Syerston,
RAF Tain,
RAF Topcliffe,
RAF Trimingham,
RAF Valley,
RAF Waddington,
RAF Wainfleet,
RAF Weston-on-the-Green,
RAF Wittering,
RAF Woodvale,
RAF Wyton,
Grissom Air Force Base,
Air Force Palmdale,
Dover Air Force base,
Eglin Air Force Base Airport,
Lackland Air Force Base,
Scott Air Force Base,
Sheppard Air Force Base,
Anqing North,30°35′00″N 117°03′00″E
Anshan,41°6′21″N 122°51′14″E
Bailian,24°12′28″N 109°23′29″E
Baishiyi,29°29′45″N 106°21′33″E
Baitabu,34°34′19″N 118°52′26″E
Beiling,41°52′13″N 123°26′22″E
Bengbu,32°50′52″N 117°19′13″E
Bikeqi,40°44′13″N 111°13′47″E
Cangxian,38°24′11″N 116°55′52″E
Changji,43°57′4″N 87°4′45″E
Changsha,28°4′9″N 112°57′27″E
Changxing,30°58′7″N 119°43′50″E
Chaoyangchuan,42°52′58″N 129°27′3″E
Chenggu,33°8′3″N 107°12′14″E
Chifeng,42°9′35″N 118°50′27″E
Dachang,31°19′25″N 121°24′38″E
Dafangshen,43°54′24″N 125°11′51″E
Daguozhang,34°13′46″N 117°14′46″E
Daishan,30°17′16″N 122°8′42″E
Dangyang,30°47′55″N 111°48′40″E
Datong,36°30′36″N 103°37′11″E
Datun,43°44′1″N 125°15′12″E
Dazu,29°38′10″N 105°46′25″E
Dingxin,40°24′06″N 99°47′22″E
Dingxing,39°15′16″N 115°49′59″E
Dongta,41°47′3″N 123°29′47″E
Ertaizi,44°0′8″N 126°23′39″E
Feidong,31°54′34″N 117°39′31″E
Fouliang,29°20′22″N 117°10′36″E
Fuzhou,26°0′14″N 119°18′46″E
Fuxin,42°4′4″N 121°43′19″E
Ganzhou,25°49′37″N 114°54′45″E
Gaomi,36°23′15″N 119°42′43″E
Gaoqi,24°32′0″N 118°7′0″E
Gonggar,29°17′53″N 90°54′44″E
Guangshui,31°39′45″N 113°49′4″E
Guangzhou East,23°9′53″N 113°22′9″E
Hailang,44°31′29″N 129°34′9″E
Hailar Southwest,49°9′51″N 119°41′37″E
Hami,42°50′30″N 93°40′7″E
Ping Fang Tien,45°35′56″N 126°39′39″E
Hetian,37°2′24″N 79°51′42″E
Huaide,43°31′34″N 124°47′5″E
Huairen,39°43′3″N 113°8′41″E
Huangguoshu,26°15′39″N 105°52′26″E
Huangpi,30°54′14″N 114°30′37″E
Huangtianba,30°42′12″N 103°56′58″E
Huian,25°1′35″N 118°48′26″E
Huiyang,23°2′55″N 114°36′3″E
Huxian,34°9′11″N 108°35′59″E
Jiang Xi,28°38′8″N 115°55′48″E
Jianqiao,30°20′7″N 120°14′27″E
Jiaxing,30°42′20″N 120°40′27″E
Jiaxing,30°42′0″N 120°41′0″E
Jingdezhan,29°14′22″N 117°8′12″E
Jining,35°17′34″N 116°20′47″E
Jinjiang,24°47′50″N 118°35′21″E
Jiugucheng,37°29′28″N 116°6′59″E
Kaifeng,34°45′12″N 114°20′16″E
Kashi,39°32′33″N 76°1′12″E
Korla,41°36′54″N 86°8′30″E
Lalin,45°15′35″N 126°53′37″E
Langtou,40°1′32″N 124°17′13″E
Lantian,28°51′9″N 105°23′33″E
Leiyang,26°35′12″N 112°53′34″E
Leizhuang,26°24′34″N 106°31′56″E
Li Chia Tsun,25°11′38″N 110°19′13″E
Liancheng,25°40′35″N 116°44′46″E
Liangping,30°40′46″N 107°47′10″E
Liaoyang,41°16′41″N 123°4′44″E
Lintao,35°18′24″N 103°50′9″E
Lintong,34°22′34″N 109°7′9″E
Lishe,29°49′35″N 121°27′45″E
Liuhe,42°15′14″N 125°42′12″E
Liushuibao,41°11′19″N 121°10′15″E
Longtian,25°34′22″N 119°27′41″E
Longyou,29°6′47″N 119°10′38″E
Luancheng,37°54′47″N 114°35′30″E
Luhe/Ma'an,32°22′40″N 118°47′39″E
Luliang,24°59′17″N 103°38′34″E
Luqiao,28°34′0″N 121°26′0″E
Lushan,33°41′8″N 112°53′26″E
Mahuiling Air Base,29°28′37″N 115°48′6″E
Mangshi,
Mei-Xian,24°15′54″N 116°6′0″E
Mengzi,23°23′40″N 103°20′4″E
Nanchong,30°47′53″N 106°9′52″E
Nanjing,31°58′19″N 118°50′29″E
Nanyuan,39°46′51″N 116°23′11″E
Ngari Gunsa Airport,32°6′15″N 80°3′15″E
Paozhuwan,30°40′27″N 114°37′53″E
Pudong,31°8′42″N 121°47′36″E
Pulandian,39°27′2″N 122°1′6″E
Qihe,36°46′4″N 116°38′24″E
Qingshui,39°33′15″N 98°53′3″E
Qionglai,30°29′25″N 103°27′55″E
Qiqihar,47°14′23″N 123°55′6″E
Qizhou,38°35′53″N 112°58′7″E
Quzhou,28°57′59″N 118°53′58″E
Rugao,32°15′26″N 120°30′10″E
Sanshilipu,39°17′21″N 121°45′50″E
Shadi,23°5′0″N 113°4′12″E
Shahezhen,40°8′58″N 116°19′24″E
Shangqiu,34°26′58″N 115°27′34″E
Shanhaiguan,39°58′6″N 119°43′50″E
Shanpo,30°05′13″N 114°18′51″E
Shantou Waisha,23°25′37″N 116°45′44″E
Shaodong,27°13′35″N 111°40′13″E
Shaoguan,24°58′43″N 113°25′15″E
Shek Kong,22°26′12″N 114°4′49″E
Shigatse,29°21′8″N 89°17′6″E
Shijiazhuang,38°4′58″N 114°25′3″E
Shuang Yu Shu,45°39′51″N 126°42′0″E
Shuangcheng,45°24′35″N 126°19′2″E
Shuangliao,43°35′20″N 123°34′46″E
Shuofang,31°29′50″N 120°25′50″E
Siping,43°9′25″N 124°17′33″E
Subi Reef,
Suixi,21°23′47″N 110°11′57″E
Suzhou,31°15′47″N 120°24′3″E
Taihe,26°51′26″N 114°44′13″E
Taipingsi,30°36′6″N 104°0′51″E
Tangguantun,38°46′56″N 117°4′8″E
Tangshan,39°43′4″N 118°0′10″E
Tianshui,34°33′36″N 105°51′37″E
Tianyang,23°43′11″N 106°57′39″E
Tieling,42°31′35″N 123°59′6″E
Tongxian,39°48′39″N 116°42′26″E
Tunxi,29°45′0″N 118°17′25″E
Ürümqi South,43°28′0″N 87°31′53″E
Uxxaktal,42°10′51″N 87°11′11″E
Wafangdian,39°40′12″N 121°45′58″E
Wangcun,36°14′56″N 113°7′35″E
Wanggang,45°40′11″N 126°31′35″E
Weifang,36°38′49″N 119°7′8″E
Wendeng,37°11′13″N 122°13′44″E
Wensu,41°15′47″N 80°17′22″E
Wudangshan,32°23′22″N 111°41′39″E
Wugong,34°16′33″N 108°15′57″E
Wuhu,31°23′27″N 118°24′34″E
Wuwei,37°59′24″N 102°33′59″E
Wuxu,22°36′30″N 108°10′32″E
Wuyishan,27°42′3″N 118°0′1″E
Xiangshui Hsu,23°13′0″N 114°7′0″E
Xiangtang,28°25′15″N 115°55′28″E
Xianguanying,35°55′4″N 104°13′5″E
Xiangyun,25°26′37″N 100°44′3″E
Xiaogan,30°57′14″N 113°54′43″E
Xiaolingzi,41°6′5″N 121°3′42″E
Xiapu,26°56′30″N 120°4′39″E
Xijiao,39°57′31″N 116°15′24″E
Xincheng Air Base,25°32′54″N 114°37′07″E
Xingning,24°10′0″N 115°45′0″E
Xinzhou,27°48′40″N 107°14′46″E
Xishanbeixiang,39°8′58″N 115°17′16″E
Yancheng,33°25′34″N 120°12′12″E
Yangcun,39°22′25″N 117°5′36″E
Yangtang Li,24°8′59″N 115°45′26″E
Yanliang,34°38′37″N 109°14′27″E
Yaohu,28°42′6″N 116°6′26″E
Yinchuan West,38°28′52″N 106°0′33″E
Yiwu,29°20′41″N 120°1′56″E
Yongji,34°52′20″N 110°21′39″E
Yongning,40°30′10″N 116°6′28″E
Yu Hung Tun,41°49′25″N 123°17′52″E
Yulin,18°13′0″N 109°31′0″E
Zhangjiakou,40°44′22″N 114°55′54″E
Zhangshu,28°1′25″N 115°33′0″E
Zhangye Southeast,38°48′8″N 100°40′30″E
Zhangzhou,24°33′42″N 117°39′17″E
Zhengzhou,34°51′47″N 113°43′48″E
Zhouzhou,39°27′26″N 116°0′0″E
Zhuangqiao,29°55′26″N 121°34′26″E
Zhucheng,36°1′42″N 119°26′16″E
Zibo,36°48′37″N 117°53′31″E
Zunhua,40°6′6″N 117°53′5″E
CFB Cold Lake,
CFB Comox,
CFB Winnipeg,
CFB Gander,
CFB Goose Bay,
CFB Greenwood,
CFB Kingston,
CFB Borden,
CFB North Bay,
CFB Trenton,
CFB Bagotville,
CFB Moose Jaw,
Tripoli Air Base,
Lemnos Air Base,
Kasteli Air Base,
Agrinio Air Base,
Aktion Air Base,
Rhodes Maritsa Airport,
Larissa Air Base,
RAF Ascension Island,
RAF Akrotiri,
RAF Troodos,
RAF Mount Pleasant,
RAF Gibraltar,
RAF Al Udeid,
RAF Mount Alice,
RAF Mount Byron 	,
Maxwell-Gunter Air Force Base,
Eielson Air Base,
Elmendorf Air Base,
Davis-Monthan Air Force Base,
Luke Air Force Base,
Little Rock AFB,
Edwards Air Force Base,
Vandenberg Air Force Base,
Buckley Air Force Base,
Peterson Air Force Base,
Dover Air Force Base,
MacDill Air Force Base,
Patrick Air Force Base,
Hurlburt Field,
Hickam Air Force Base,
Mountain Home Air Force Base,
Offutt Air Force Base,
Creech Air Force Base,
Nellis Air Force Base,
Cannon Air Force Base,
Holloman Air Force Base,
Kirtland Air Force Base,
Seymour Johnson Air Force Base,
Minot Air Force Base,
Wright-Patterson Air Force Base,
Vance Air Force Base,
Langley Air Force Base,
McChord Field,
F. E. Warren Air Force Base,
Aviano Air Base,
Andersen Air Force Base,
Geilenkirchen NATO Air Base,
Ramstein Air Base,
Berlin Tegel Airport,
Büchel Air Base,
Cologne Bonn Airport,
Diepholz Air Base,
Hohn Air Base,
Holzdorf Air Base,
Landsberg-Lech Air Base,
Laupheim Air Base,
Lechfeld Air Base,
Neuburg Air Base,
Nörvenich Air Base,
Rostock-Laage Airport,
Schleswig Air Base,
Wittmundhafen Air Base,
Wunstorf Air Base,
Évreux-Fauville Air Base,
Vélizy-Villacoublay Air Base,
Creil Air Base,
Saint-Sauveur Air Base,
Avord Air Base,
Orange-Caritat Air Base,
Solenzara Air Base,
Al Dhafra Air Base,
Alcantarilla Air Base,
Torrejón Air Base,
Santiago Air Base,
Gando Air Base,
Poznań-Bednary Airport ,
Biała Podlaska Airport,
Broczyno Airport,
Brzezie Airport,
Cewice Airport,
Debrzno Airport,
Gdynia Airport,
Kąkolewo Airport,
Kamień Śląski Airport,
Drahimek Airport,
Arboga Airport,
Borlänge Airport,
Fällfors Airport,
Gävle: Airfield,
Kramfors Airport,
Kristianstad Airport,
Lambohov Airport,
Nyköping Airport,
Hyvinkää Airport,
Kajaani Airport,
Kuopio Airport,
Oripää Airport,
Leeuwarden Airport,
Csákvár Airport,
Volkel Airport,
Woensdrecht Airport,
Afrikanda Air Base,
Alykel Airport,
Amderma Airport,
Andreapol air base,
Arabatuk air base,
Armavir air base,
Kamensk-Uralsky air base,
Kansk air base,
Kant air base,
Khatanga Airport,
Khmeimim Air Base,
Khrabrovo Airport,
Kilpyavr air base,
Kirovsk–Apatity Airport,
Kirsanov air base,
Komsomolsk-on-Amur Airport,
Krechevitsy Airport,
Krichev air base,
Krymsk air base,
Kubinka air base,
Kupino air base,
Kursk Vostochny Airport,
Bada air base,
Bagay-Baranovka air base,
Bakharevka Airport,
Balashov air base,
Barnaul Airport,
Bassel Al-Assad International Airport,
Belaya air base,
Berezovka air base,
Bezrechnaya-2 air base,
Blagodatnoye,
Bobrovka air base,
Borisoglebsk air base,
Borisovsky Khotilovo air base,
Bratsk Airport,
Budyonnovsk air base,
Burevestnik Airport,
Buturlinovka air base,
Chebenki air base,
Chekurovka air base,
Chelyabinsk Shagol Airport,
Chernoi air base,
Chindant air base,
Chita Northwest air base,
Chokurdakh Airport,
Chudovo air base,
Chuguyevka air base,
Danilovo air base,
Dolinsk-Sokol air base,
Dombarovsky Air Base,
Domna air base,
Dorokhovo air base,
Dyagilevo air base,
Dzhida air base,
Dzyomgi Airport,
Elizovo Airport,
Engels-2 air base,
Engozero air base,
Galenki air base,
Gorin air base,
Greem Bell Airfield,
Gromovo air base,
Ignatyevo Airport,
Ivanovo Severny air base,
Lebyazhye air base,
Lenino air base,
Letneozersky air base,
Levashovo air base,
Lipetsk air base,
Lodeynoye Pole air base,
Loukhi-3 air base,
Luostari/Pechenga air base,
Lyambir air base,
Marinovka Air Base,
Maysionvara air base,
Medyn-Aduyevo air base,
Mengon air base,
Michurinsk air base,
Migalovo air base,
Millerovo air base,
Monchegorsk air base,
Monino Airfield,
Morozovsk air base,
Mys Shmidta Airport,
Nagurskoye air base,
Naryan-Mar Airport,
Nurmalitsy air base,
Olenya air base,
Orlovka air base,
Orsk Airport,
Ostrov Bolshevik air base,
Pechora Kamenka air base,
Petrovsk air base,
Petrozavodsk Airport,
Poduzhemye air base,
Polyarny Airport,
Povorino air base,
Pravdinsk air base,
Primorsko-Akhtarsk air base,
Protasovo air base,
Provideniya Bay Airport,
Pskov Airport,
Pugachyov air base,
Pushkin Airport,
Rogachevo air base,
Rtishchevo air base,
Salmi air base,
Samara Kryazh Airport,
Savasleyka air base,
Savatiya air base,
Semyazino Airport,
Shadrinsk air base,
Sharomy air base,
Shatalovo air base,
Shaykovka air base,
Siversky air base,
Slavgorod air base,
Smolensk North Airport,
Soltsy-2 air base,
Sormovo Airfield,
Sredny Ostrov Airfield,
Stavropol Shpakovskoye Airport,
Step air base,
Stupino Airfield,
Suntar Airport,
Taganrog-Central air base,
Tambov air base,
Temp air base,
Tiksi Airport,
Torzhok air base,
Totskoye air base,
Tunoshna Airport,
Uglovoye airfield,
Ugolny Airport,
Ukkurey air base,
Ukrainka air base,
Ulyanovsk Baratayevka Airport,
Voronezh Malshevo air base,
Vozdvizhenka air base,
Vozzhayevka air base,
Yaroslavl Levtsovo air base,
Yefremov air base,
Yeysk Airport,
Yugorsk Sovetsky air base,
Zavitinsk air base,
Zherdevka air base,
Osan Air Base,
Kunsan Airport,
Chitose Air Base,
Gifu Airport,
Hamamatsu Air Base,
Hōfu Airport,
Ibaraki Airport,
Iruma Air Base,
Kenebetsu Air Base,
Komatsu Airport,
Matsushima Airport,
Misawa Air Base,
Nagoya Airfield,
Naha Air Base,
Shimojishima Airport,
Shizuhama Air Base,
Tsuiki Air Field,
Yakumo Sub Base,
Yokota Air Base,
Adampur Airport,
Ambala Airport,
Sarsawa Airport,
Udhampur Airport,
Barapani Airport,
Hasimara Airport,
Kalaikunda Airport,
Panagarh Airport,
Bamrauli Airport,
Gorakhpur Airport,
Maharajpur Airport,
Coimbatore Airport,
Tambaram Airport,
Thanjavur Airport,
Jaisalmer Airport,
Lohegaon Airport,
Phalodi Airport,
Uttarlai Airport,
Dundigal Airport,
Hakimpet Airport,
Car Nicobar Air Force Station,
Anápolis Airport,
Belém Airport,
Boa Vista Airport,
Canoas Airport,
Florianópolis Airport,
Fortaleza Airport,
Manaus Airport,
Natal Air Force Base,
Porto Velho Airport,
Santa Cruz Air Force Base,
Afonsos Air Force Base,
Santa Maria Air Force Base ,